id,question,gold
218,গম-পাট-রোপা আমন ফসল বিন্যাসের আগাছা দমন সম্পর্কে কী নির্দেশনা আছে?,বীজ বপনের ৪৫-৫০ দিন পর একবার ও ৭০ হতে ৮০ দিন পর দ্বিতীয়বার নিড়ানি দিতে হবে এবং পাট পাতলা করতে হবে।
219,ছাদ বাগানের স্মার্ট সেচ বিষয়ে ডিজিটাল টাইমারে সেচ সময় সেট করা সম্পর্কে কী তথ্য আছে?,যখন প্রোগ্রামেবল ডিজিটাল টাইমার ব্যবহার করা হবে তখন ম্যানুয়ালি সেচের সময় ও অন্তর সেট করে দিতে হবে।
220,বারি কফি-১ কখন বা কীভাবে সংগ্রহ করতে হবে?,বীজের গাছে ফল সংগ্রহ করতে সাধারণত রোবাস্টার ক্ষেত্রে ৩ বছর এবং এরাবিকার ক্ষেত্রে ২ বছর সময় প্রয়োজন।
221,বারি কাসাভা-১-এর কন্দ বা রাইজোম সম্পর্কে কী বলা হয়েছে?,টিউবার ঘন বাদামী এবং এর মাংসল সাদা বর্ণের হয়।
222,কাসাভার উপযোগী মাটি ও জলবায়ুর তথ্য কী?,অতিরিক্ত বেলে ও এঁটেল মাটি বাদ দিয়ে সব ধরনের মাটিতেই কাসাভা চাষ করা যায়।
223,চীনাবাদাম ভালোভাবে বাড়তে উপযুক্ত তাপমাত্রা কত?,স্বাভাবিক বৃদ্ধির জন্য ২৫-৩০ ডিগ্রি সে. তাপমাত্রা প্রয়োজন।
224,কাঁঠালের সেচ ব্যবস্থাপনায় কী নির্দেশনা আছে?,চারা রোপণের পর প্রয়োজন মতো পানি সেচ ও বেড়ার ব্যবস্থা করতে হবে।
225,ছাদ বাগানের স্মার্ট সেচের সেচ ব্যবস্থাপনায় কী নির্দেশনা আছে?,"প্রায় ৯০% ছাদ বাগানে সেচ ব্যবস্থাপনার জন্য মগ, হোস পাইপের মত বিভিন্ন প্রচলিত পদ্ধতি ব্যবহার হয়।"
226,সুপারি চাষে সার প্রয়োগের পর সঙ্গে সঙ্গে কী করতে হবে?,সার প্রয়োগের পর প্রয়োজনবোধে আলাদা মাটি দ্বারা নালাটি বন্ধ করে দিতে হবে।
227,মাঠের ইঁদুর ব্যবস্থাপনা সম্পর্কে মাঠ ফসলের যেখানে বিষয়ে কী বলা হয়েছে?,মাঠ ফসলের যেখানে ইঁদুরের গর্ত আছে সেখানে ব্যবহার যোগ্য।
228,ঝাড়শিমের জলাবদ্ধতা ও পানি নিষ্কাশন সম্পর্কে কী নির্দেশনা আছে?,ফরাসী শিম জলাবদ্ধতা সহ্য করতে পারে না বিধায় সুনিষ্কাশিত জমি নির্বাচন করতে হবে।
229,সয়াবিন-রোপা আউশ-রোপা আমন ফসল বিন্যাসের উপযোগিতা সম্পর্কে কী বলা হয়েছে?,নোয়াখালী ও কৃষি পরিবেশ অঞ্চল-১৮ এর অনুরূপ অঞ্চল সমূহ।
230,বারি চীনাবাদাম-১২-এর বীজের রং কী?,বীজের রং লালচে বাদামী বর্ণের।
231,বারি চিনা-২-এর বীজ বা দানা সম্পর্কে কী তথ্য আছে?,"বীজ ডিম্বাকৃতি, উজ্জ্বল বাদামি কালচে রং এর এবং বীজ থেকে ছাড়ানো চাল হলুদ বর্ণের।"
232,কফি সম্পর্কে সারি থেকে সারি ও গাছ থেকে গাছ বিষয়ে কী বলা হয়েছে?,"গাছ থেকে গাছ বা সারি থেকে সারির দূরত্ব জাত, মাটির ধরণ ও উর্বরতার উপর নির্ভর করে।"
233,সয়াবিন-রোপা আউশ-রোপা আমন ফসল বিন্যাস বিষয়ে পানি ধরে আগাছা কমানো সম্পর্কে কী তথ্য আছে?,জমিতে ৫-১০ সেমি পানি ধরে রাখলে আগাছার পরিমাণ কম হয়।
234,কফির চারা সম্পর্কে কী তথ্য দেওয়া হয়েছে?,কফির বীজ থেকে সবচেয়ে কম খরচে ও সহজে চারা উৎপাদন করা যায়।
235,বারি মুখীকচু-৩ চাষে কী পরিমাণ ফলন পাওয়া যায়?,হেক্টর প্রতি গড় ফলন ৪০-৪৫ টন।
236,বারি কফি-১-এর ফলের বৈশিষ্ট্য কী?,১০০টি ফলের গড় ওজন ১০২ গ্রাম।
237,চর এলাকায় বিনা চাষে পেঁয়াজের সার ব্যবস্থাপনায় কী নির্দেশনা আছে?,চর এলাকায় সাধারণত সেচের সাথে সাথেই জমিতে সার প্রয়োগ করতে হবে যাতে প্রয়োগকৃত সার দ্রুত মাটিতে মিশে যায়।
238,মরিচ ছিটিয়ে বপন করলে প্রতি হেক্টরে কত বীজ লাগে?,বীজ হার ছিটিয়ে বপন করলে ২.৫-৩.০ কেজি/হে. চারা উৎপাদন করে ১.০-১.৫ কেজি/হে. হেক্টর প্রতি ৪০০০০-৪৫০০০ গাছ থাকলে ভাল ফলন পাওয়া যায়।
239,বারি অড়হর-১-এর জীবনকাল কত?,ফল প্রায় একই সাথে পরিপক্ক হয় এবং জীবনকাল ২৫০-২৬০ দিন।
240,চিনা বিষয়ে রসের অভাবে সেচ সম্পর্কে কী তথ্য আছে?,বেলে দোআঁশ মাটিতে রসের অভাব হলে ২-১ টি হালকা সেচের ব্যবস্থা করলে অধিক ফলন পাওয়া যায়।
241,বারি মরিচ-৬ সম্পর্কে মরিচের দৈর্ঘ্য বিষয়ে কী বলা হয়েছে?,ফল মাঝারি লম্বা এবং প্রতিটি মরিচের দৈর্ঘ্য ৪-৫ সেমি।
242,বারি বার্লি-১০-এর গাছের উচ্চতা কত?,গাছের উচ্চতা ৯০-৯৫ সে.মি.।
243,মাঠের ইঁদুর ব্যবস্থাপনা বিষয়ে গর্তে গোবরের বল ব্যবহারের পদ্ধতি সম্পর্কে কী তথ্য আছে?,ইঁদুরের গর্তের মুখ পরিষ্কার করে ভিতরে গোবরের বল দিয়ে মুখ বন্ধ করে দিতে হয়।
244,বারি আলু-১০২-এর কন্দের চামড়া ও শাঁসের রং কেমন?,"আলুর চামড়া মসৃণ ও রং লাল, শাঁসের রং সাদা, চোখ কিছুটা গভীরে থাকে।"
245,বারি সুপারি-১ চাষে কী পরিমাণ ফলন পাওয়া যায়?,খোসাসহ কাঁচা সুপারির গড় ফলন ২৮.২৪ টন/হেক্টর (উচ্চ ফলনশীল)।
246,অড়হর পরিপক্বতার সময় কত?,সংগ্রহের সময়: বীজ বপনের ২৫০-২৬০ দিন পর (ফেব্রুয়ারী মাসের ২য় সপ্তাহ) অড়হর পরিপক্ক হয়।
247,চিনা চাষে পানি নিষ্কাশনের ব্যবস্থা কেমন হওয়া উচিত?,সেচের পানি ক্ষেতে জমে যাতে ফসলের ক্ষতি করতে না পারে সে জন্য পানি নিষ্কাশনের ব্যবস্থা থাকা দরকার।
248,ভুট্টা-রোপা আউশ-রোপা আমন ফসলধারার সার ব্যবস্থাপনায় কী নির্দেশনা আছে?,"রোপা আউশ: সমস্ত ফসফরাস, পটাসিয়াম এবং জিপসাম জমি তৈরি শেষ সময় প্রয়োগ করতে হবে।"
249,মরিচের সাথে পাতা জাতীয় সবজি আন্তঃফসলের সেচ ব্যবস্থাপনায় কী নির্দেশনা আছে?,সেচ মাটিতে অতিরিক্ত আর্দ্রতা রাখা যাবে না।
250,বারি সুপারি-১-এর রোগ ব্যবস্থাপনায় কী তথ্য আছে?,রোগ বারি সুপারি-১ এর ফলসহ গাছ ও পোকামাকড়ের আক্রমণ অনেক কম পরিলক্ষিত হয়।
251,পানিকচুর ক্ষতিকর পোকা বা প্রাণী দমনে কী তথ্য আছে?,জাবপোকা দমনের জন্য এডমায়ার ১০০ এসপি ০.৫ মিলি প্রতি লিটার পানিতে মিশিয়ে প্রয়োগ করতে হবে।
252,বারি চুইঝাল-১ কখন বা কীভাবে সংগ্রহ করতে হবে?,১.৫-২.০ বছর পর কাণ্ড বা শাখা সংগ্রহ করা যায়।
253,মরিচ চাষের জন্য উপযুক্ত মাটির পিএইচ কত?,পিএইচ মাত্রা ৬.৫-৭.০ এবং ভাল-নিষ্কাশিত উর্বর বেলে-দোআঁশ বা পলিযুক্ত দোআঁশ মাটি ফসলটির জন্য সবচেয়ে উপযোগী।
254,সয়াবিন-রোপা আউশ-রোপা আমন ফসল বিন্যাসের আগাছা দমন সম্পর্কে কী নির্দেশনা আছে?,চারা রোপণের ১৫ দিন পর একবার ও ৩০ দিনের মাথায় ২য় বার নিড়ানী দিতে হবে।
255,বারি সুপারি-১ জাতের একটি খোসাসহ কাঁচা সুপারির ওজন কত?,খোসা সহ একক কাঁচা সুপারির গড় ওজন ৩৫.৬৭ গ্রাম।
256,জোয়ার চারা উৎপাদন ও পরিচর্যায় কী নির্দেশনা আছে?,বীজ বপনের পর চারা ঘন হলে চারা গজানোর পর পাতলা করে দিতে হবে।
257,কাঁঠাল কীভাবে বংশবিস্তার করা হয়?,বংশবিস্তার: সাধারণত কাঁঠালের বীজ থেকেই চারা তৈরি করা হয়।
258,পানিকচুর রোগ দমন বা সহনশীলতা সম্পর্কে কী বলা হয়েছে?,পাতার উপরে বাদামী থেকে বেগুনী রং এর গোলাকার দাগ দেখা যায়।
259,বারি কফি-১-এর ব্যবহার বা উপযোগিতা সম্পর্কে কী বলা হয়েছে?,খরা সহিষ্ণু ও আংশিক ছায়াযুক্ত স্থানে বিশেষভাবে অন্য ফল বাগানের ভিতরে চাষ উপযোগী।
260,বারি কফি-১-এর বীজ বা দানা সম্পর্কে কী তথ্য আছে?,বিন/বীজ গোলাকৃতির সবুজাভ বাদামী রং ধারণ করে।
261,জোয়ার বীজ বা দানার বৈশিষ্ট্য কী?,জোয়ারের দানা বিভিন্ন রং এর হয়ে থাকে।
262,পানিকচুর লতির বৈশিষ্ট্য কী?,লতির মতো জাতটির কাণ্ডও ভক্ষণযোগ্য।
263,বারি সুপারি-১ ফলের আকারের মাপ কী?,সুপারির কাঁচা ফলের গড় দৈর্ঘ্য ৫৪.৬৯ সে.মি. এবং ব্যাস ৩৭.৫১ সে.মি.।
264,বারি কফি-১-এর ফল সম্পর্কে কী তথ্য আছে?,১০০টি ফলের গড় ওজন ১০২ গ্রাম।
265,আলুর শেষ চাষে সার প্রয়োগের নির্দেশনা কী?,গোবর ও জিংক সালফেট শেষ চাষের সময় জমিতে মিশিয়ে দিতে হবে।
266,কাসাভার ফলন কত?,সঠিকভাবে পরিচর্যা করলে কন্দের ফলন হেক্টরপ্রতি ৪০-৬০ টন সহজেই পাওয়া সম্ভব।
267,ভালো ফলনের জন্য গম-পাট-রোপা আমন ফসল বিন্যাস চাষে কয়টি সেচ প্রয়োজন?,মাটির প্রকারভেদে ২-৩টি সেচের প্রয়োজন হয়।
268,সুপারি চাষে বপন বা রোপণের দূরত্ব কত?,বীজ রোপণের সময় সারি থেকে সারির দূরত্ব ৩০ সে.মি. এবং বীজ থেকে বীজের দূরত্ব হবে ২৫ সেমি।
269,টমেটোর সমন্বিত আগাছা ব্যবস্থাপনার আগাছা দমন সম্পর্কে কী নির্দেশনা আছে?,আবার প্রতিনিয়ত আগাছা দমনে প্রচুর শ্রম ও অর্থের অপচয় হয় যা বাণিজ্যিকভাবে ফসল উৎপাদনকে বাধাগ্রস্ত করে তোলে।
270,ঝাড়শিমের উপযুক্ত রোপণের সময় কোনটি?,বাংলাদেশে শীতকালে এ ফসলটি উৎপাদন করা হয় এবং নভেম্বর মাস বীজ বপনের জন্য উত্তম সময়।
271,বারি চুইঝাল-১-এর পাতার বৈশিষ্ট্য কী?,পাতার দৈর্ঘ্য ১৮-২০ সেমি এবং প্রস্থ ১২-১৪ সে.মি.।
272,মুখীকচুর ফলন কত?,উচ্চ ফলনশীল এ জাতের গড় ফলন হেক্টর প্রতি প্রায় ৪০-৪৫ টন।
273,বারি আলু-১০২ চাষে কী পরিমাণ ফলন পাওয়া যায়?,হেক্টর প্রতি গড় ফলন ৩৬.০০ টন যা অনুকূল পরিবেশে বাংলাদেশের আবহাওয়ায় সর্বোচ্চ ৪০.০০ টন পর্যন্ত হয়।
274,জোয়ার জন্য কত বীজ প্রয়োজন?,বীজের পরিমাণ হেক্টর প্রতি ১০ কেজি।
275,চিনা বিষয়ে চিনার সেচের প্রয়োজন সম্পর্কে কী তথ্য আছে?,চিনার জন্য পানি সেচের দরকার পড়ে না।
276,পালংশাকের কম্পোস্ট ব্যবস্থাপনার আগাছা ব্যবস্থাপনার গুরুত্বপূর্ণ সময় কত?,"আগাছা-রোগ-পোকা দমন: বীজ বপনের ১৪ এবং ২৮ দিন পর আগাছা দমন করতে হয়, কোনো প্রকার বালাইনাশকের প্রয়োজন হয় না।"
277,চীনাবাদাম কখন বপন করা উচিত?,চীনাবাদাম রবি ও খরিফ উভয় মৌসুমে চাষাবাদ করা যায়।
278,বারি ঝাড়শীম-৪-এর বীজ বা দানা সম্পর্কে কী তথ্য আছে?,প্রতি পডে ৭-৯ টি বীজ থাকে এবং ১০০ টি বীজের ওজন ৯৭.২৭ গ্রাম।
279,জারবেরার টিস্যু কালচার সম্পর্কে মাতৃ গাছের গুণাগুণ বিষয়ে কী বলা হয়েছে?,মাতৃ গাছের গুণাগুণ সম্পন্ন চারা পাওয়া যায়।
280,পানিকচুর সার প্রয়োগ সম্পর্কে কী বলা হয়েছে?,চারা রোপণের ১.৫-২ মাস সময়ে অর্ধেক এমওপি এবং ইউরিয়ার এক ষষ্ঠাংশ ছিটিয়ে দিতে হবে।
281,সুপারির সার দেওয়ার পর করণীয় কী?,সার প্রয়োগের পর প্রয়োজনবোধে আলাদা মাটি দ্বারা নালাটি বন্ধ করে দিতে হবে।
282,বারি পানিকচু-৮ বিষয়ে রান্নার পর লতির বৈশিষ্ট্য সম্পর্কে কী তথ্য আছে?,রান্না করলে লতি সমানভাবে সিদ্ধ হয় এবং খেতে অত্যন্ত সুস্বাদু।
283,ডাঁটার মাটি ও জমি নির্বাচন সম্পর্কে কী বলা হয়েছে?,ডাঁটার জন্য উর্বর ও গভীর মাটি প্রয়োজন হয়।
284,বারি চীনাবাদাম-১২-এর রোগ ব্যবস্থাপনায় কী তথ্য আছে?,জাতটি স্বল্পমাত্রায় খরা ও রোগ সহনশীল।
285,কফি বিষয়ে সার প্রয়োগের মাস ও পর্যায় সম্পর্কে কী তথ্য আছে?,"মার্চ (ফুল ফোটার পূর্বে), মে (ফুল ফোটার পরে), আগস্ট (দানা/ফল গঠনের পর) এবং অক্টোবর (ফল পাকার পূর্বে) মাসে বছরে মোট ৪ বার সার প্রয়োগে ভাল ফলন পাওয়া যায়।"
286,ভুট্টা-রোপা আউশ-রোপা আমন ফসলধারার সার প্রয়োগ সম্পর্কে কী বলা হয়েছে?,"রোপা আউশ: সমস্ত ফসফরাস, পটাসিয়াম এবং জিপসাম জমি তৈরি শেষ সময় প্রয়োগ করতে হবে।"
287,চুইঝালের সংরক্ষণ সম্পর্কে কী নির্দেশনা আছে?,ফ্রিজ ছাড়াও চটের বস্তায় মুড়ে মাঝে মাঝে পানির ছিটা দিয়েও ৩০-৪০ দিন পর্যন্ত চুইঝাল সংরক্ষণ করা যায়।
288,বারি সোলার টানেল ড্রায়ার সম্পর্কে শুকানোর দ্রব্যগুলি ঠান্ডা বিষয়ে কী বলা হয়েছে?,শুকানোর পর দ্রব্যগুলি ঠান্ডা করে প্যাকেটজাত করে সংরক্ষণ করতে হবে।
289,চিয়া কোন মৌসুমে চাষ করা হয় বা উপযোগী?,"চিয়া বাংলাদেশে একটি নতুন সম্ভবনাময় ফসল, যা রবি মৌসুমে চাষাবাদ করা যায়।"
290,মরিচের সাথে পাতা জাতীয় সবজি আন্তঃফসল বিষয়ে পাতা জাতীয় সবজি সংগ্রহের সময় সম্পর্কে কী তথ্য আছে?,পাতা জাতীয় সবজি: বপনের ৩০-৩৫ দিন পর সংগ্রহ করা যায়।
291,টমেটোর সমন্বিত আগাছা ব্যবস্থাপনার সার ব্যবস্থাপনায় কী নির্দেশনা আছে?,"সম্পূর্ণ ইউরিয়া এবং এমওপি সার রোপণের ১০,২৫ ও ৪০ দিন পর তিনটি সমান ডোজে মাটিতে প্রয়োগ করতে হবে।"
292,মরিচ বিষয়ে চারা রোপণের সম্পর্কে কী তথ্য আছে?,"খাটো, মোটা কাণ্ড ও ৪-৫ পাতা বিশিষ্ট চারা রোপণের জন্য উপযুক্ত।"
293,সুপারি সম্পর্কে সার প্রয়োগের পর করণীয় বিষয়ে কী বলা হয়েছে?,সার প্রয়োগের পর সেচ প্রদান করে মালচিং করে দিলে ভাল ফল পাওয়া যাবে।
294,বারি সুপারি-২-এর ফলন কত?,খোসাসহ কাঁচা সুপারির গড় ফলন ৩৪.৪৮ টন/হেক্টর (উচ্চ ফলনশীল)।
295,টমেটোর সমন্বিত আগাছা ব্যবস্থাপনা চাষে চারা রোপণের পর কখন সেচ দিতে হবে?,"সেচ চারা রোপণের ৩-৪ দিন পর পর্যন্ত হালকা সেচ ও চারা রোপণের ১০,২৫ ও ৪০ দিন পর সার প্রয়োগের পর জমিতে সেচ দিতে হবে।"
296,চিয়ার জলাবদ্ধতা ও পানি নিষ্কাশন সম্পর্কে কী নির্দেশনা আছে?,চিয়ার এ লাইনটি চারা অবস্থায় ২-৩ দিন পর্যন্ত জলাবদ্ধতা সহ্য করতে পারে।
297,বারি লটকন-২ চাষে কী পরিমাণ ফলন পাওয়া যায়?,ত্রিশ বছর বয়সী প্রতিটি গাছে গড় ফলের সংখ্যা ২৮৫৮ টি এবং ফলন প্রতি বছরে ৬১.৫৭ কেজি/ গাছ এবং ৯.৬১ টন/হেক্টর।
298,আগাম আলুর বারি আলু-৪১ ও বারি আলু-৯০-এর প্রযুক্তির উপযোগিতা সম্পর্কে কী বলা হয়েছে?,উপযোগী অঞ্চল: কৃষি পরিবেশ অঞ্চল-৩ এর যেসব এলাকায় আগাম আলু চাষ হয় সেখানে প্রচলিত জাতের পরিবর্তে এ জাত দুটি লাভজনকভাবে চাষ করা যাবে।
299,চর এলাকায় বিনা চাষে পেঁয়াজের ফসল সংগ্রহের নির্দেশনা কী?,সাধারণত বীজ বপনের ৩-৪ মাসের মধ্যে পেঁয়াজের বাল্ব তোলার উপযুক্ত হয়।
300,ছাদ বাগানের স্মার্ট সেচ বিষয়ে পরিচালনার দক্ষতার প্রয়োজন সম্পর্কে কী তথ্য আছে?,সেচ ব্যবস্থাপনা পদ্ধতিটি পরিচালনার জন্য তেমন দক্ষতার প্রয়োজন হয় না।
301,বারি সুপারি-১ সম্পর্কে শুকনা সুপারির ফলন বিষয়ে কী বলা হয়েছে?,খোসাসহ শুকনা সুপারির গড় ফলন ১০.৫৭ টন/হেক্টর।
302,চর এলাকায় বিনা চাষে পেঁয়াজের আগাছা ব্যবস্থাপনার গুরুত্বপূর্ণ সময় কত?,চর এলাকায় পেঁয়াজ বীজ বপনের ২০-২৫ দিনের মধ্যে আগাছা দমনের ব্যবস্থা নিতে হবে।
303,ডাঁটা চাষের জন্য কী ধরনের মাটি বা জমি উপযোগী?,ডাঁটার জন্য উর্বর ও গভীর মাটি প্রয়োজন হয়।
304,বারি চুইঝাল-১ চাষে কী পরিমাণ ফলন পাওয়া যায়?,তিন বছর বয়সী প্রতি গাছের ফলন ৯-১১ কেজি।
305,বারি সোলার টানেল ড্রায়ার কীভাবে সংরক্ষণ করতে হবে?,দ্রব্য একদিনে না শুকালে সেগুলো ড্রায়ারের ভিতরে রেখেই ড্রায়ারসহ নিরাপদ স্থানে সংরক্ষণ করা যেতে পারে।
306,চীনাবাদাম চাষে পানি নিষ্কাশনের ব্যবস্থা কেমন হওয়া উচিত?,"চীনাবাদাম জলাবদ্ধতা সহ্য করতে পারেনা, বিধায় পানি নিষ্কাশনের জন্য সু-ব্যবস্থা থাকা বাঞ্ছনীয়।"
307,মরিচের ফসল সংগ্রহের নির্দেশনা কী?,মরিচ গাছ জমিতে লাগানোর ১৩০-১৫০ দিনের মধ্যে কাঁচা মরিচ সংগ্রহ শুরু করা যায়।
308,মেটে আলুর রং বা বর্ণ কেমন?,বোটার গোড়ায় গোলাপী রঙ থাকে।
309,বারি লটকন-২ সম্পর্কে ফলের খণ্ড ও খাদ্যোপযোগী অংশ বিষয়ে কী বলা হয়েছে?,ফলের অভ্যন্তরে ৩-৪ টি খণ্ড বিদ্যমান এবং খাদ্যোপযোগী অংশ প্রায় ৫৭.০৭ %।
310,বারি আলু-১০২-এর ফলন কত?,হেক্টর প্রতি গড় ফলন ৩৬.০০ টন যা অনুকূল পরিবেশে বাংলাদেশের আবহাওয়ায় সর্বোচ্চ ৪০.০০ টন পর্যন্ত হয়।
311,চিনার ফলন কত?,হেক্টরপ্রতি ফলন ২.২৫-২.৫ টন।
312,কাঁঠালের চারা উৎপাদন ও পরিচর্যায় কী নির্দেশনা আছে?,ছোট অবস্থায় চারা/কলম লাগানোর পর অপ্রয়োজনীয় ছোট ছোট শাখা প্রশাখা কেটে দিলে সোজা কাণ্ড তৈরিতে সহায়ক হয়।
313,টমেটোর সমন্বিত আগাছা ব্যবস্থাপনা সম্পর্কে একটি পদ্ধতিতে আগাছা দমনের সীমাবদ্ধতা বিষয়ে কী বলা হয়েছে?,কিন্তু শুধুমাত্র একটি পদ্ধতির মাধ্যমে আগাছা পর্যাপ্তভাবে দমন করা যায় না।
314,গম-পাট-রোপা আমন ফসল বিন্যাস বিষয়ে তৃতীয় সেচ সম্পর্কে কী তথ্য আছে?,তৃতীয় সেচ ৭৫-৮০ দিন পর দিতে হবে।
315,বারি অড়হর-১-এর বীজের রং কী?,প্রতি পডে বীজের সংখ্যা ৪-৫ টা এবং বীজের রং লালচে বাদামী।
316,পানিকচুর জমি প্রস্তুতির সময় সার প্রয়োগ সম্পর্কে কী বলা হয়েছে?,"গোবর বা কম্পোস্ট, টিএসপি, জিপসাম, জিংক সালফেট, বরিক এসিড এবং অর্ধেক এমওপি সার জমি তৈরির সময় শেষ চাষের আগে প্রয়োগ করতে হবে।"
317,চিয়া চাষে বীজের হার কত?,বীজের হার: ৫-৬ কেজি/হেক্টর।
318,বারি আলু-১০১-এর গাছের বৃদ্ধি ও শাখা-প্রশাখা সম্পর্কে কী বলা হয়েছে?,গাছ কিছুটা খাড়া প্রকৃতির ও শাখা প্রশাখা বেশি।
319,কফির গাছের উচ্চতা কত?,এরাবিকা জাতের জন্য তুলনামূলক বেশি উচ্চতার প্রয়োজন হয়।
320,চর এলাকায় বিনা চাষে পেঁয়াজ সম্পর্কে নিড়ানী বিষয়ে কী বলা হয়েছে?,জমিতে আগাছার পরিমাণ বেশি হলে ৪০-৫০ দিনের মধ্যে দ্বিতীয়বার নিড়ানী দিয়ে আগাছা দমন করতে হবে।
321,চিয়ার সেচের প্রয়োজন সম্পর্কে কী বলা হয়েছে?,চিয়া মূলত মরুভূমির উদ্ভিদ যা অল্প সেচে জন্মাতে পারে।
322,বারি চিনা-২ চাষে বীজের হার কত?,ছিটিয়ে বুনলে হেক্টর প্রতি ২০ কেজি এবং সারিতে বুনলে ১৮ কেজি বীজ বুনতে হবে।
323,কফি সম্পর্কে বীজ বপনের বিষয়ে কী বলা হয়েছে?,বীজ বপনের ৩০-৪০ দিনের পর চারা গজায়।
324,মেটে আলুর উপযুক্ত মাটির ধরন কী?,মেটে আলুর জন্য সুনিষ্কাশিত গভীর বেলে দোঁয়াশ মাটি সর্বোত্তম।
325,আলুর টিউবার মথ ব্যবস্থাপনা আক্রান্ত অংশে পরে কী সমস্যা হতে পারে?,আক্রান্ত অংশে পরবর্তীতে রোগের আক্রমণ হতে পারে ফলে খাদ্য এবং বীজ হিসাবে ব্যবহারের অনুপযোগী হয়ে যায়।
326,মেটে আলু বিষয়ে বালুর স্তরে সংরক্ষণ সম্পর্কে কী তথ্য আছে?,ঠান্ডা ও উত্তম বায়ু চলাচলযুক্ত ঘরে ১-২ স্তরে ২-৩ ইঞ্চি বালুর স্তর দিয়ে বিছিয়ে সহজেই সংরক্ষণ করা যায়।
327,অড়হর বীজের ফলন কত?,অড়হর জাতের বীজের ফলন প্রতি হেক্টরে ১.৫-১.৮ টন।
328,বারি মেটে আলু-৩-এর শুষ্ক পদার্থের পরিমাণ কত?,শুষ্ক পদার্থের পরিমাণ ২৮.৫৬ ± ১।
329,সুপারি সম্পর্কে বীজতলা বিষয়ে কী বলা হয়েছে?,"দো-আঁশ, পলি দো-আঁশ মাটি বীজতলার জন্য উপযুক্ত।"
330,মসুর পাতা ঝলসানো রোগের রোগ দমন বা সহনশীলতা সম্পর্কে কী বলা হয়েছে?,এ প্রযুক্তির মাধ্যমে মসুরের রোগ দমনের সাথে সাথে মসুর ডালের দানাও পরিপুষ্ট হয়।
331,বারি কাঁঠাল-৬-এর রং বা বর্ণ কেমন?,"পাল্প শক্ত, উজ্জল হলুদ বর্ণের ও আঠাববিহীন।"
332,জারবেরার টিস্যু কালচার বিষয়ে ছোট একরকম চারার পরিবহন সুবিধা সম্পর্কে কী তথ্য আছে?,উৎপাদিত জারবেরা চারা আকারে ছোট এবং এক রকম হওয়াতে পরিবহন খরচ কম।
333,চীনাবাদাম কীভাবে বপন করতে হবে?,বীজ বপনের আগে খোসা হতে বীজ আলাদা করে নিতে হবে।
334,চুইঝাল চাষে পানি নিষ্কাশনের ব্যবস্থা কেমন হওয়া উচিত?,পানি নিষ্কাশনের সুবিধাযুক্ত দো-আঁশ বা বেলে দো-আঁশ মাটি সমৃদ্ধ উঁচু জমিতে চুইঝাল ভালো হয়।
335,ডাঁটার সেচ সম্পর্কে কী বলা হয়েছে?,সেচের ব্যবস্থা থাকলে সারা বছরই ডাঁটার বীজ বপন করা যায়।
336,গম-পাট-রোপা আমন ফসল বিন্যাস বিষয়ে চারা রোপণের পর নিড়ানির সময় সম্পর্কে কী তথ্য আছে?,চারা রোপণের ১৫ দিন পর একবার ও ৩০ দিন পর দ্বিতীয়বার নিড়ানি দিতে হবে।
337,চর এলাকায় বিনা চাষে পেঁয়াজের সার প্রয়োগ সম্পর্কে কী বলা হয়েছে?,চর এলাকায় সাধারণত সেচের সাথে সাথেই জমিতে সার প্রয়োগ করতে হবে যাতে প্রয়োগকৃত সার দ্রুত মাটিতে মিশে যায়।
338,চীনাবাদাম কখন বা কীভাবে সংগ্রহ করতে হবে?,চীনাবাদাম গাছের শতকরা ৭৫-৮০ ভাগ বাদাম যখন পরিপক্ক হয় তখন ফসল উঠানোর সঠিক সময়।
339,চিনার সেচ সম্পর্কে কী বলা হয়েছে?,কিন্তু সেচবিহীন চাষে সম্পূর্ণ সার চাষের সময় প্রয়োগ করলে ভাল ফলন পাওয়া যায়।
340,পানিকচুর পোকামাকড় বা ক্ষতিকর প্রাণী ব্যবস্থাপনায় কী বলা হয়েছে?,জাবপোকা দমনের জন্য এডমায়ার ১০০ এসপি ০.৫ মিলি প্রতি লিটার পানিতে মিশিয়ে প্রয়োগ করতে হবে।
341,কাঁঠাল চাষে পানি নিষ্কাশনের ব্যবস্থা কেমন হওয়া উচিত?,সাধারণত উঁচু ও মাঝারি উঁচু জমি যেখানে পানি নিষ্কাশনের সুব্যবস্থা রয়েছে এমন উর্বর জমি কাঁঠালের চাষের জন্য উপযোগী।
342,ডাঁটা বিষয়ে সুনিষ্কাশিত স্যাঁতসেঁতে মাটি সম্পর্কে কী তথ্য আছে?,সুনিষ্কাশিত অথচ স্যাঁতস্যাঁতে থাকে এমন মাটিতে এটি সবচেয়ে ভালো জন্মে।
343,বারি পানিকচু-৮-এর লতির বৈশিষ্ট্য কী?,পানিকচুর জাত বারি পানিকচু-৮ এর প্রধান ভক্ষণযোগ্য অংশ হলো লতি।
344,সুপারির আগাছা দমন সম্পর্কে কী নির্দেশনা আছে?,গাছের গোড়া সব সময়ই আগাছামুক্ত রাখা প্রয়োজন।
